LO	SECTIONS	CODE	SOURCE
22.1	541.201	Transportation Code	Direct
22.1	541.202	Transportation Code	Direct
22.1	541.203	Transportation Code	Direct
22.1	546.0065	Transportation Code	Tertiary (via 541.201)
22.1	51.212	Education Code	Tertiary (via 541.201)
22.1	170.001	Local Government Code	Tertiary (via 541.201)
22.1	228.054	Transportation Code	Tertiary (via 541.201)
22.1	284.070	Transportation Code	Tertiary (via 541.201)
22.1	366.178	Transportation Code	Tertiary (via 541.201)
22.1	2A.001	Code of Criminal Procedure	Tertiary (via 541.201)
22.1	773	Health and Safety Code	Tertiary (via 541.201)
22.1	1201	Occupations Code	Tertiary (via 541.201)
22.2	541.001	Transportation Code	Direct
22.2	541.002	Transportation Code	Direct
22.2	541.101	Transportation Code	Direct
22.2	541.102	Transportation Code	Direct
22.2	1.07(a)(8)	Penal Code	Direct
22.2	1.07(a)(46)	Penal Code	Direct
22.2	1.07(a)(26)	Penal Code	Direct
22.2	1.07(a)(40)	Penal Code	Direct
22.2	1.07(a)(49)	Penal Code	Direct
22.2	623.008	Transportation Code	Tertiary (via 541.001)
22.2	311.005	Government Code	Tertiary (via 541.002)
22.2	1.04	Alcoholic Beverage Code	Tertiary (via 1.07(a)(8))
22.2	51.214	Education Code	Tertiary (via 1.07(a)(8))
22.2	2A.002	Code of Criminal Procedure	Tertiary (via 1.07(a)(8))
22.2	841	Health and Safety Code	Tertiary (via 1.07(a)(8))
22.3	541.301	Transportation Code	Direct
22.3	541.302	Transportation Code	Direct
22.3	542.202(b)(2)	Transportation Code	Direct
22.3	541.303	Transportation Code	Direct
22.3	541.304	Transportation Code	Direct
22.3	551.106	Transportation Code	Tertiary (via 542.202(b)(2))
22.4	541.401	Transportation Code	Direct
22.5	365.011(5)	Health and Safety Code	Direct
22.5	365.011(6)	Health and Safety Code	Direct
22.5	365.011(8)	Health and Safety Code	Direct
22.5	365.012	Health and Safety Code	Direct
22.5	361	Health and Safety Code	Tertiary (via 365.011(5))
22.5	42A.304	Code of Criminal Procedure	Tertiary (via 365.012)
22.5	59	Code of Criminal Procedure	Tertiary (via 365.012)
22.5	28	Penal Code	Tertiary (via 365.012)
22.5	15	Penal Code	Tertiary (via 365.012)
22.6	542.001	Transportation Code	Direct
22.6	542.002	Transportation Code	Direct
22.6	542.003	Transportation Code	Direct
22.6	542.004	Transportation Code	Direct
22.6	542.005	Transportation Code	Direct
22.6	542.201	Transportation Code	Direct
22.6	542.202	Transportation Code	Direct
22.6	542.301	Transportation Code	Direct
22.6	542.302	Transportation Code	Direct
22.6	542.303	Transportation Code	Direct
